artist_id,name,popularity_rating,genre,country_code
4tuJ0bMpJh08umKkEXKUI5,Gracie Abrams,90,alt z,US
1HY2Jd0NmPuamShAr6KMms,Lady Gaga,92,art pop,US
0du5cEVh5yTK9QJze8zA0C,Bruno Mars,96,dance pop,US
1iCnM8foFssWlPRLfAbIwo,Gigi Perez,81,bedroom pop,US
4V8LLVI7PbaPR0K2TGSxFF,"Tyler, The Creator",95,hip hop,US
2qoQgPAilErOKCwE2Y8wOG,GloRilla,82,southern hip hop,US
3DbwFQlvLxRSi2uX8mf81A,Sexyy Red,80,trap queen,US
55Aa2cqylxrFIXC767Z865,Lil Wayne,88,hip hop,US
20wkVLutqVOYrc0kxFs7rA,Daniel Caesar,87,canadian contemporary r&b,US
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,96,art pop,US
1oSPZhvZMIrWW5I41kPkkY,Jimin,89,k-pop,US
74KM79TiuVKeVCqs8QtB0B,Sabrina Carpenter,94,pop,US
3eVa5w3URK5duf6eyVDbu9,ROSÉ,84,k-pop,US
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,canadian contemporary r&b,US
699OTQXzgjhIYAHMy9RyPD,Playboi Carti,90,atl hip hop,US
7GlBOeep6PqTfFi59PTUUN,Chappell Roan,89,indie pop,US
1U1el3k54VvEUzo3ybLPlM,Kali Uchis,86,colombian pop,US
67FB4n52MgexGQIG8s0yUH,Lola Young,74,uk pop,US
3y2cIKLjiOlp1Np37WiUdH,Shaboozey,80,modern country pop,US
3l9G1G9MxH6DaRhwLklaf5,Oscar Maydon,87,corrido,US
0ys2OFYzWYB5hRDLCsBqxt,Fuerza Regida,91,corrido,US
4oUHIQIBe0LHzYfvXNW4QM,Morgan Wallen,91,contemporary country,US
246dkjvS1zLTtiykXe5h60,Post Malone,91,dfw rap,US
22wbnEMDvgVIAGdFeek6ET,Benson Boone,86,singer-songwriter pop,US
4V8LLVI7PbaPR0K2TGSxFF,"Tyler, The Creator",95,hip hop,BR
20wkVLutqVOYrc0kxFs7rA,Daniel Caesar,87,canadian contemporary r&b,BR
